filtername,eff_wave,
GALEX/GALEX.FUV,1548.85,
GALEX/GALEX.NUV,2303.37,
TYCHO/TYCHO.B,4280.00,
TYCHO/TYCHO.V,5340.00,
Hipparcos/Hipparcos.Hp,4901.70,
SLOAN/SDSS.u,3608.04,
SLOAN/SDSS.g,4671.78,
SLOAN/SDSS.r,6141.12,
SLOAN/SDSS.i,7457.89,
SLOAN/SDSS.z,8922.78,
PAN-STARRS/PS1.g,4810.16,
PAN-STARRS/PS1.r,6155.47,
PAN-STARRS/PS1.i,7503.03,
PAN-STARRS/PS1.z,8668.36,
PAN-STARRS/PS1.y,9613.60,
SkyMapper/SkyMapper.u,3500.22,
SkyMapper/SkyMapper.v,3878.68,
SkyMapper/SkyMapper.g,5016.05,
SkyMapper/SkyMapper.r,6076.85,
SkyMapper/SkyMapper.i,7732.83,
SkyMapper/SkyMapper.z,9120.25,
GAIA/GAIA0.Gbp,5041.61,
GAIA/GAIA0.G,5850.88,
GAIA/GAIA0.Grp,7690.74,
CTIO/DECam.u,3856.88,
CTIO/DECam.g,4769.90,
CTIO/DECam.r,6370.44,
CTIO/DECam.i,7774.30,
CTIO/DECam.z,9154.88,
CTIO/DECam.Y,9886.45,
UKIRT/UKIDSS.Z,8817.00,
UKIRT/UKIDSS.Y,10305.00,
UKIRT/UKIDSS.J,12483.00,
UKIRT/UKIDSS.H,16313.00,
UKIRT/UKIDSS.K,22010.00,
Paranal/VISTA.Z,8788.99,
Paranal/VISTA.Y,10196.44,
Paranal/VISTA.J,12481.04,
Paranal/VISTA.H,16347.74,
Paranal/VISTA.Ks,21435.42
2MASS/2MASS.H,16620,
2MASS/2MASS.J,12350,
2MASS/2MASS.Ks,21590,
WISE/WISE.W1,33526.00,
WISE/WISE.W2,46028.00,
